,Text,score,analysis
16,im big fan chicken tikka masala far restaurants searched searched something could reheat chow id tried jyoti found tasted much similar mres tastebr stuff actually tastes like chicken tikka masala perfect close enoughbr br biggest problem fact ship dry ice evaporated boxes got soggy compound fact adhesive keeping plastic covering bowl strength watered elmers glue nasty mess opened box 12 lost threebr br im sure shipped way iraq would made frozen intact ill probably end buying though,-0.11180555555555556,Neutral
17,naturaldogs favorite treat dont give many constipate dog dogs anything treats,0.5,Positive
18,cant make dont time perfectbr minimal ingredients preservativesbr use crock pot chicken,-0.35,Neutral
19,like coconut water bought product local market try chemo turns drank wanted potassium chemo makes potassium deficient felt better drinking productalong lots water say hydrated,0.033333333333333326,Neutral
20,daves gourmet known punchy hot sauces pasta sauces underrated especially one made san francisco butternut squash harvested oregons willamette valley savory sweet filling flavor even parmesan cheese beside point great topping gnocchipastaetc wonderfully autumnal sauce bon appetit,0.48,Neutral
21,generally huge fan candy bars dont hate dont love exception reeses related products prefer nutrageous fast break crispy crunchy become hard find still saw lewis today also like reeses sticks obviously peanut butter cups,0.0011904761904761943,Neutral
22,bought box drakes devil dogs unfortunately creme filling kind cornstarch pudding mixture disappointing weve enjoyed original recipe 50 yrs would buy another box,0.075,Neutral
23,please stay away product bought 3 first one broke hunging first night put outbr second one lasted 2 weeks trapped 20 fliesbr material looks feels cheap ever buy thing cant return 3rd one shipping actual unitbr waist time money,0.09999999999999999,Neutral
24,im addicted hershey chocolate admit warned dont order summertime unless like chocolate goo,-0.4,Neutral
25,box 5 sticks stick covered chocolate sprinkles theres 3 chambers filled chocolate filling top sort white filling bottom chocolate extremely deliciousbr br crunchiness softness combine creamy paradise mouthbr br like youll probably like kinder bueno well,0.19375,Neutral
26,loved tazo organic chai spiced black tea first brewed cup hot water sweeteners tastes good gave calming feeling felt mentally sharp could focus however bad news 12 hours later could sleep night watched clock tick night long two days suspected tea thing different routine since personal family history hypertension although control diet medication exercise checked bp morning could sleep 14898 pulse 98 something tea suspect interacting system dont ever want go anyone else experienced,0.13819444444444443,Neutral
27,vermont country blend favorite kcup however 2 different selections box 24 2425 box 24 pack 2 2538br didnt see pack 2 113 bummer,0.25,Neutral
28,great item many uses use hair body moisturizer food also supplement best good price,0.75,Positive
29,drink decaf easier heartybold yet bitter coffee closest starbucks decaf like type stronger flavor tried lot kkup decafs best yet,0.45,Neutral
30,love way feel drinking hrefhttpwwwamazoncomgpproductb00566hyh0energy green superfood powder 100 servings 247 oz powdera buy big one refill small onea hrefhttpwwwamazoncomgpproductb003tjerrgamazing grass energy green superfood lemon lime flavor 74ounce tuba convenient get daily drinks keep big one fridge little one leave dry end week much easier mebr br love boost energy get drinki couple days definitely notice drop energythe energy jolt like caffeine like natural feeling well kick endurance feel amazing stuffbr br also drink chocolate hrefhttpwwwamazoncomgpproductb001j9lx48amazing grass chocolate drink powder green superfood 17ounce containerait amazing health benefits brought ph normal range without chocolate ph came normal,0.09421296296296296,Neutral
31,shipped fast packed well terrific cereal bar low cal great taste texture everyone tries loves cant wait try another flavor,0.18,Neutral
32,love cookie mean biscuits tasty something texture makes especially yummy ordered seven pack came nicely wrapped minimal breakage,0.1375,Neutral
33,health oriented person ive never really interested normal coffee various times dabbled different coffee alternativesbr br although many coffee alternatives arent bad cant really say interested ayurvedic roast different really enjoy drinking wonderful vanilla aroma deep rich flavorbr br interestingly enough mom much coffee drinker actually really likes always make sure keep good amount stock case comes,0.2027777777777778,Neutral
34,three weeks still received product charged already,0.0,Neutral
35,looking protein fill drink full good karma love chai love chai spicy sweet goodness glass going go nuts drink like flavors one definitely best,0.5666666666666667,Positive
36,coffee addict yet jitters really detract work professionally home tea provides kick keep going without jittersbr br love stuff,0.26666666666666666,Neutral
37,bland youre drinking without real chocolate hazelnut flavor leaves horrible aftertaste youve drank,-0.32222222222222224,Neutral
38,tried many preworkouts trust quality provides great pump energy make workouts without making jittery might give rage feeling like noxipro 1mr sleep better night knowing putting body switch muscle pharms assault,0.6,Positive
39,probably falafel celiac eat delicious,1.0,Positive
40,good purchase larger quantity ease keeping supplies stock easy obtain amazon without third party involved got use free shipping yea,0.30666666666666664,Neutral
41,daughter loves celiac disease really loves normal mainstream foods great gluten free rice krispie treats,0.38749999999999996,Neutral
42,found smooth somewhat rich coffee enjoyable good flavor lot depth darkness ethiopia produced best coffee world may best ever tasted good medium roast full flavored coffee without lot bitterness best cup pod coffee tasted farbr br addition pod brewer also tried coffee pod pourthrough basket boiling water also steeping like cup tea found flavor pretty consistent better brewed outside pod brewer able steep coffee much stronger higher yield cup boiling water slower pod brewer pods marked side updown tucked tight pod brewer best results pod individually wrapped airtight tasted fresh preground pod coffee tried sustainably grown,0.4379251700680272,Neutral
43,smell taste lickety stik instant success dogbr dispensing ball dosent move easily much timebr nuisance us keep helping ball turn dog get treatbr get hands golden gets mouthbr try turn ball dog even find difficultbr br roller ball concern dont consider pet safebr golden retriver got bottlebr could easily bite roller ball would try eat itbr br ball requires strong tounge move even gets stuckbr cant imagine stik compatible small dogsbr squeeze bottle force liquid around ballbr drops ground licksbr br would great idea worked truely pet safe,0.3060606060606061,Neutral
44,dont know cant find much stock hate sweet candy coated poptarts find mostly today product service amazon great,0.20999999999999996,Neutral
45,love rich flavor good taste strong bitter would also recommend starbuck cafe verona fabulous never starbucks fan kcup,0.3847222222222222,Neutral
46,wow believe muchbr br good healthy stuff could suchbr br small package calorie countbr br etc would help others choose thisbr br unique food bar,0.285,Neutral
47,bought reading reviews tasty little strange first really grow one nice thing eat chip alternative dont eat many 1015 crisps im done also used saladsbr br bought case dont think ill ive seen grocery store ill buy bag big box full closet think take get,0.06625,Neutral
48,opened one terra chip bags surprise 6 crummy pieces broken chips even 6 whole chips 6 chip fragments plus chips looked totally stale returned bag store immediately upon opening,-0.2333333333333333,Neutral
49,found plant sterol margarines benecol chews leave horrible waxy film mouth cookies really great taste good wax bit grainy flavor really good lots chocolate chips really makes graininess 13 g plant sterols 4 g soluble fiber 4 ww pts,0.27999999999999997,Neutral
50,smoked meat montreal tastes like pastrami corned beef comes 5 packets stays fresh information description im sure confusion youre looking really good montreal smoked meat,0.5,Positive
51,amazon shipped quick carton little damaged corner didnt affect cake kept cake fresh compared ones bought traveling caribbean kinda dry taste good orange overpowering really didnt taste much rum would order one,0.21130952380952378,Neutral
52,according manufacture xylitol used gum produced usa birch gmo corn china gum pleasant taste strong powering xyloburst like xylitol gum long lasting flavor last long enough get rock hard flavor gone chew gum great job controlling bad breath refreshing breath meals added oral hygiene benefits get xylitol also plus chewing gum nothing bad report,0.056250000000000015,Neutral
53,unless really really really like vinegar avoid chips called vinegar sea salt sea salt vinegar,0.2,Neutral
54,order dozens products amazon every month first time truly compelled review product purchasedbr br wow difficult really mess chewing gum well gum plain disgusting within seconds melts mouth gooey mess stick teeth tongue tried using 23 pieces time results even worse unsure given old batch tried 10 pieces tossed rest far worst purchase ever made amazon gross waste money,-0.23956043956043957,Neutral
55,truly wonderful experience cup absolutely love coffee folgers hasnt failed yet chocolate truffle smells delicious tastes delicious trying brands online purchases complete letdown say tastebuds redeemed 3 12oz bags 16 change good buy flavored coffee ill back thanks folgers thank amazon providing customers folgers selection thanks really good,0.3666666666666667,Neutral
56,ordered sons birthday party bumblebee themed gave favors kids parents thought cleverly packaged bumblebee foil getting nervous delivery customer service great arrived time,0.48333333333333334,Neutral
57,actually prefer original blend thats consumer reports rated product extremely highly right bokar blend also good new standard avoid pretentious crap unpretentious uncool almost pretentious cool,0.04470779220779219,Neutral
58,got granddaughter loves food goes nuts sees box recommend snack normal mushy stuff thats even though good teething biscuit granddaughter likes practice biting great dont worry choking melts fairly quickly mouth enjoy comes different flavors,0.3972222222222222,Neutral
59,using flavor wheatgerm 37 years find living area sold anywhere asked 2 managers 2 different grocery stores order said couldnt florida couple years ago bought every jar local grocery store would awhile months ago ran decided see amazon never imagining actually pleasantly suprised find never worry running son use product sprinkle stew mashed potatoes macaroni cheese macaroni salad adds nice flavor texture staple life much pepper ketchup,0.30666666666666664,Neutral
60,cant review foodbecause kibble size h u g ebr unless gigantic dogi think smmed dog want chew im upset love wanted mix dry,0.21666666666666667,Neutral
61,another brand organic rooibos tea offered amazon choice brand previously ordered gave tea 5 stars numi also offers good rooibosbr br decided give davidsons chance since cheap understand cheap extremely weak tea 2 bags davidsons still equal 1 bag choice maybe 3 4 bags like itbr br actually ended throwing recent cup davidsons left 2 old bags along 2 new bags 4 bags total thinking maybe could suck tea old bags something quite often brands joke tea ended tasting like bags hint teabr br feel drinking brand rooibos tea like drinking plain water hint tea flavor doubt drink remaining 96 bags left instead use tired eyes go bed night,0.045906544435956195,Neutral
62,course dogs love greenies happy find could get right amazon since live remote area,0.3244155844155844,Neutral
63,think product good puppy go well product got loos stool stinky gas time needed change food,0.7,Positive
64,ordered alternative canned pears dont taste taste exactly like canned pears like canned found like even better light syrup gives nice flavor like texture fruit retains lot crunchiness fresh pear canned pears soft throughout product something like hybrid fresh pears canned pears overall im pleased purchase order 4 stars relatively expensive price otherwise 5 star product,0.24499999999999997,Neutral
65,hot cocoa tastes artificial like fake sweetener could barely finish cup gross buy risk,-0.15999999999999998,Neutral
66,box slim jims received good conditionand bad surprizes taste slim jims remember small kid 50 years ago although size product gotten smaller still tastes,-0.06249999999999997,Neutral
67,little chips fabulous taste like ranch doritos wonderful flavor great salads crush use breading chicken,0.28250000000000003,Neutral
68,purchased thinking would ordinary oatmeal raisin cookies wrong like chocolate chip like oatmeal raisin combination cookies dont work well together wish read item listing carefully even kids said blech,-0.4125,Neutral
69,br br numi teas chinese breakfast yunnan black tea premium numi tea certified organic kosher ingredient fair trade certified organic high mountain yunnan black tea fop flowery orange pekoe nothing artificial numi teabr br box manufacturer writes noble tea grown mist covered mountains yunnan province distinguishes fine organic black tea perfect sense balance exquisite tigers eye color lean vibrancy makes suitable time day like complex wine perfect tea food marrying well wide variety dishes distant hard place floral quality yet leaves mouth tasting clean spring water energizes body mind harmoniously best coffees proud bring high grade leafbr br although tea says orange pekoe taste citrusy strong morning black tea taste flowery overtones like regular orange pekoe upgraded many many times something delicate lovely flowery added perfect morning tea anytime want highquality pickmeupbr br price super big savings single boxes like numi teas get ityou wont sorry new numi love regular black probably best youve ever youll wonder ever drank old stuffbr br,0.24769064269064273,Neutral
70,like special k product loses crunch quickly turns starchy like eating sweet mush wont ordering fact probably throw away cups remaining,0.18511904761904763,Neutral
71,bought two bottles liked principle ended realizing toy basically designed puppiesbr two bottles bought lasted two weeks german sheppardbr main problem bottle hit floor walls time dog trying get kibble cracks basically dangerous toy adult dogs end eating part plastic,0.05333333333333332,Neutral
72,difficulty finding blend local stores trying many different flavors past 18 months find enjoyable blend yet followed closely kona blend thanks amazon carrying blend affordable price,0.15833333333333333,Neutral
73,buying brand past 3 years kona lover issues spending 200 dollars 5 pound bag money much rather give charity drink brand almost gives aroma higher quality kona even though blend lot lower cost perfect medium brew recommend highly,0.27199999999999996,Neutral
74,mominlaw recd 1 box gift box couldnt find found enjoyed convenience hot tea toast said straws right amount less messy honey keeps longers jar 6pk great surprise price reasonable convenience item,0.23843537414965985,Neutral
75,nice robust flavor especially morning blend price incredible quarter cheaper per cup compared standard k cup bit nervous would work cuisinart brewer problem work flawlessly ill ordering lot,0.2,Neutral
76,actually used one chocolate cakes beautiful gave beautiful glitter shimmer problem little messy kind hard get surfaces get table something also sticks fingers spreading baking goods thats much problem easily wash afraid expensive small amount glitter tell little glitter go along way buying different colored glitter brand,0.05119047619047617,Neutral
77,bought daughter started eating foodaround 6 months age works great although doesnt make large amount foodmaybe enough 3 servings ive using 4 months noticed drive shaft looking little blackishrusty leaking black spills food pour tried take drive shaft poured taste food doesnt taste right cant feed food baby longer using machine im going return probably make old fashioned way want try baby processor try another brand,0.1494047619047619,Neutral
78,since starting drinking baja bobs take packets going dinner ask bartender make drink baja bobs first 5 years ago balked seems like bartenders understanding women guys dont want extra calories love taste sweet regular margarita works much better,0.2285714285714286,Neutral
79,flavor pink lemonadebr definitely tastes like pink lemonadebr consistency thick like youre drinking lemon syrupbr hate orange flavor definitely improvementbr br effectiveness fast feel tired hours thoughbr perks within 1520 minutesbr 34 hours definitely noticed limbs feeling like lead felt sluggishbr br price decentbr 12 bottles 24 ozbr find cheaper energy supplements effectivebr br overall youre big fan 5 hour energy flavor might enjoy cheaper alternatives amazon though prefera hrefhttpwwwamazoncomgpproductb0017o19q2stay alert military caffeine energy gum arctic mint caffeinebased since works faster freshens breath doesnt last long dont like caffeinegum hrefhttpwwwamazoncomgpproductb000lktqaehansens energy pro drinka works better 5 hour energy,-0.046875000000000014,Neutral
80,anyone remember old joke grey poupon involved two old sophisticated men limousine remember commercial fond memories fact main reason avoided eating long fear id become exactly like men good thing big joke anyone eat stuff without desiring feel high mightybr br taste good appealing used believe theyre either making cheaper days simply changed recipe worse either way old time fans product neglecting years may quite disappointing surprise go eat overpriced stuff,0.1280392156862745,Neutral
81,tried went sale 100box kicking buying quantity eat little flesh food broth blessing disguise pressure cooking beans vegetarian fare unfortunately amazon competitive local supermarkets drive mile buy 300box,-0.22916666666666666,Neutral
82,sister coffee lover told tullys italian favorite kpod dark lightjust right thing would improve would organic,0.15892857142857142,Neutral
83,thought tea would bitter surprisingly pleasant drink without sweeteners less bitter black earl grey tea pack 3 wonderful deal well get creative storing much tea cupboard amount get price beat highly recomended,0.20099999999999998,Neutral
84,enjoy eating spicy food girlfriend tried many different levels spicy food ghost pepper sauce etc chips get pretty spicy 12 one 2ounce bags good taste,0.37,Neutral
85,reordered decaf coffee tried several decaf varieties looking perfect cup donut house reigning favorite drinking donut shop decaf tried green mountain breakfast blend decaf coffees pleasant neither compares donut house aroma flavor coffee full bodied taste smooth brew 8oz setting think perfect although make next size larger mother likes bit weaker well probably keep looking perfect decaf one excellent,0.48194444444444445,Neutral
86,condiment one keep desk work sometimes stop local grocery chain deli pick premade sandwich lunch since know wont time go beaver brand cranberry mustard really dresses ordinary turkey breast sandwich nice combination tartsweet cranberry plus zing good deli mustard,0.25,Neutral
87,rescue black labhound mix parasites first got knew needed good quality food started blue buffalo even parasites completely cleared body still pooping 5 times day nothing solid slowly switched organix hasnt single stomach issue since fortunate found good quality food food actually enjoys eating healthy coat beautiful soft ever costly cant put price wellbeing loved one wish started sooner save 2 months misery highly recommend product,0.24511904761904763,Neutral
88,love snacks son 13 months old gobbles upbr echo reviewers though younger babies theyre crunchybr packaging great small enough stuff diaper bag,0.19166666666666665,Neutral
89,hint jasmine tea flavor enjoy itbr br hrefhttpwwwamazoncomgpproductb000r4g4tubigelow green tea jasmine 20count boxes pack 6a,0.1,Neutral
90,pretty neat concept rewarding dog licks rather treats cut calorie consumption however good dog likes mine doesnt fair hes 8 years old set ways,0.45,Neutral
91,lollipops well done look exactly like picture single one broken packaged lollipop nicely impressed,0.19464285714285715,Neutral
92,personally prefer grating cheese right pasta dinners product makes nice condiment table dont block fresh cheese grate flavor pretty nice goes nicely spaghetti sauce garnish things like chicken,0.2544642857142857,Neutral
93,found tea really helped increase milk supply tasted little funny first quickly got used price amazon unbeatable especially use subscribe save,0.1409722222222222,Neutral
94,amazing smooth flavor use mixed skim milk high protein powder make wonderful iced coffee smoothie breakfast champions,0.43200000000000005,Neutral
95,moved state popcorn always available aghast one carried new area appears like wonderfully natural tasting lightly salted lower calorie popcorn preferred heavily tasted thick butter lots salt coats mouth film popcorn pops fully leaving kernels unpopped doesnt need additives ease ordering prompt shipment make wonderful way us thank,0.11704545454545454,Neutral
96,ok love chocolate doesnt shipped fast none chocolates melted absolutely delicious wonderful box delicacies,0.64,Positive
97,best jerk seasoning around forget dry rubs jerk sauces seasoning flavorful dont need lot little much feel heat use 12 teaspoon rubbed steak chicken pork need jar lasts forever also use marinade mixing oil instead rubbing directly personally think thats wasteful rub grill bake anyway youll love,0.12083333333333333,Neutral
98,really dont like fact made chinabr even organic dont feel comfortable china probably wont get anymore,0.30000000000000004,Neutral
99,weve gluten free awhile ive experimented different mixes making scratch everyone definition perfect chocolate cookie one pretty close minebr br absolutely love chewy nice rise finished cookie tasted great reviewers said arent lot chocolate chips could always add ownbr br dough feel differently start gluten free baking get expectation recipes mix ones regular flour smell taste fava bean dough baked couldnt dont think someone could tell gluten free didnt tell,0.39545454545454545,Neutral
100,purchased product probiotics found difficult disguise sour taste lifeways flavored products much better option product make good substitute sour cream far taste goes much thinner consistancy though,0.09999999999999999,Neutral
101,studied keurig machines others 2 months deciding one main fear keurig unbelievable amount bad reviews water pumps failing home systems especially platinum seem plagued issue yet unit commercial units appear immune downside going commercial unit compatible kcup despair solutionbr br experiencebr br purchased b145 local staples 12999 unwrapped new beauty filled full water per instructions heart sank box unit would prime figured must something wrong called keurig confirmed unit defective right box happy thought would give one go took back staples happily exchanged item time success unit works great issues month ownership use filtered bottled water highly recommended extend unit service life unit 1 year warranty keurig happy purchase farbr br complained noise surprised bit hum buzz bit admit lasts maybe 40 seconds fills water really seemed bit silly mebr br big win willing trade inability use kcup reliable unit found ekobrew reusable filter keurig amazon works great b145 recommend want use blend coffeebr br worth thats 2 cents,0.19306015823257203,Neutral
102,could give product stars would giving dog food dogs years past month formula changed put shelf dog allergic reaction something first thought allergies dogs like humans change get older one problems tried cleaning patio daily basis bought new food water bowls stainless steel wash water bowl much possiblebr br even took vet numerous times vet practicing 25 years best area puzzled nothing worked dog started lose fur odd looking spots chin open sores go away matter much wash put medicine hes consistently scraching making worse toes red inflamed ears bright red color like rash lastly hasnt eating much diarreah week later dog broke hives rushed emergency room gave shots slowly went away starting experience problems dogbr br last time went pet store pick food heard customers yelling food making dog sick heard symptoms described shop owner didnt know taken food shelf given refund decided buy canidae go online researchbr br found canidae changed formula added many new ingredients grains millet dogs allergic found forums people describing issues theyre dogs like called customer service nothing blamed us dogs reaction food asked fault inadequte labeling bag food buy fault weve using dog food last 7 years response customer service representative call simply said dont like dont buy hung mebr br bag never changed appearance add stickers indicate change formula would checked make sure changed wouldnt affect dogs lest would known signs watch change terrible food something different reaction feel horrible company pay vet bills inform us consumers changes understand choose pets purchase foods choose change formula fine way could reason changing formula make cheaper produce increasing price dog food case would kept purchasing see light go back old formula family never purchase like many others im sure notbr br chosen food grain free starting chow like long recovery road ahead male dog coat face worst hope anyone looking buy food find formula done others animals like mine buy,0.043607168025772684,Neutral
103,carbrite brownie mix includes chocolate chips resulting brownies 15 grams net carbs per large brownie thats 174 calories definitely recommended anyone loves chocolate wants healthy toobr br brownies easy make add 3 eggs 12 cup butter teaspoon water thats bake hour chill hour fridgebr br whats neat brownies options come depending long bake get cake like fudge like like half halfbr br chocolate chips seem sink mix gives fudgy aspect bottom layer really nice texture crispy top even several days later ones left assuming eat reasonable pace still quite tastybr br want comment eat one time boyfriend bit greedy first made ate bunch loaded sugar alcohols 15g sugar alcohols per serving gives fantastic sweet flavor cause digestive problems eaten large quantities one brownie fine six brownies less fine wise eat onebr br people ask dont use splenda instead sugar alcohols splenda doesnt bake well sugar alcohols flavor comes differently really believe best formulation fantastic flavor aware content eat moderationbr br really love get rich brownie flavor hardly calories almost zero carbs really quite ideal anybody loves chocolate eating plan wants avoid sugarbr br nutrition values 174 calories 12g fat trans fats 55mg sodium 3g fiber 15g sugar alcohols 15g net carbs get tiny amounts vitamins nothing really consider importantbr br would even recommend parents make kids kids demand chocolate rather giving sugary versions,0.255578231292517,Neutral
104,good produckt iam using last four weeks nice smell,0.4333333333333333,Neutral
105,actually tried cookie influenster really chewy like cookies dont like hard crunchy good taste left mouth kinda nasty overall one good cookie,0.038541666666666655,Neutral
106,asian spice lovers rejoice squirt tasty red stuff pretty much everything hot dogs chinese takeout cheeseburgers eggs fries tacos etc cant go wrong bottle 110 messfree everybody needs bottle sriracha cabinet stocked several dozen case apocalypse,0.024999999999999994,Neutral
107,son loves eat lunch also uses dip applesauce great healty snacks better order 2 cartons eat quickly,0.5444444444444444,Positive
108,water tastes like every bottled water idea whether ph water makes real difference realize bottles going huge 50 ounces struggle getting stairs also makes somewhat bulky use price seems expensive consider bottles twice size bottled waters reasonable,0.07500000000000002,Neutral
109,miles family surprise try send niece nephew wall gift time time sent one loved delivery fast contents fresh send future,0.3,Neutral
110,sampled various types starbucks flavored coffee years found starbucks coffee matter flavor usually consistent upon opening bag brewing first cup knew starbucks winner herebr like coffee strong perhaps comes drinking daily event found vanilla flavored natural fusions coffee produced strong bitter cup coffee vanilla nice balance bold starbucks coffee makes good coffee drink iced hot one thing notice like sweet aftertaste vanilla flavoring overwhelming surprised aftertaste course taste totally subjective others drink coffee may notice bothered aftertastebr bottom line would certainly recommend especially like vanilla ground coffee,0.2452380952380952,Neutral
111,means vegetarian eat steaks rare try eat healthy beef jerky great snack go travel lot constant intake red meat good tried primal strip vegan strips every one makeand good thai satian peanut far favorite hot spicy shiitake mushroom jerky second favorite recommended snack even devout meat eaters even like give 5 stars like everything everyone recommend buying individually first love come back amazon get box amazon cheapest boxes,0.33999999999999997,Neutral
112,el sabroso salsitas chips pleased time great flavor great service,0.7000000000000001,Positive
113,use products often gluten free coffee cake easy use hit every time make coffee cake social function like good coffee cake awhile gluten free challenging pamelas mix helped easy burden multiple different types gluten free flour hand,0.33,Neutral
114,coffee nice flavor usually dont like brazilian coffeebr coffee full warm flavorbr quality seems goodbr price super,0.3266666666666666,Neutral
115,love chips good quick snack dont fee guilty eating since less fat salt regular chips highly recommended,0.14666666666666667,Neutral
116,best bold coffee market rich strong bite disappointed great value would recommend anyone enjoys strong tasteful coffee,0.37499999999999994,Neutral
117,ordered 8 cans wheat honey 400g cerelac got 8 cans nestum 300g cans diiference sizes wont much issue difference taste consistencybr br order seller product shown u recieve,0.2,Neutral
118,addicted potato chips love snacks may want grab picked first bag store 80 miles home low fat flavor excellent crisp fresh packed looks like foil package 4 grams fat per ounce best flavored chips foundbr buying amazon brings chips door less cost buying local store dont need spend time money transportation get well packaged box bag sealed volume air keeps squashing breaking contents transitbr great flavorful lowfat snack hits spot negative 12 bags cabinet need ration dont pigout enjoy,0.27948717948717955,Neutral
119,price rolls double normal suggested retail price manufacturer rolls bought anywhere selling 819roll,0.075,Neutral
120,great added morning coffee doesnt add sugar like regular hot cocoa mix moca low cal,0.2625,Neutral
121,dont dissappointed machine first tdisc flavor youve tried tassimo coffee blend used subscribe gevalias delivery service ive tried lot automatic drip coffees incl signature blend im dissapointed tassimo disc version gave 2 stars smoothness otherwise lackluster brew much richness body flavor generic coffee crema much window dressing pretty boring cup husband far less picky coffee agreed favor try coffees available tassimo incl website gevalia espresso good maxwell house latte capuccino,0.09333333333333334,Neutral
122,herradura business since 1870 smooth tequila shows tradition craftsmanship herradura reposado equally nice sipping using classic margarita recipes like blending herradura silver anejo,0.3888888888888889,Neutral
123,bought day looking dog treat nutritious keep pet entertained glad product available subscribe save,0.45,Neutral
124,tastes almost exactly like red bull color beverage nearly clearlight pinkbr br price line red bull id probably buy instead twice price however one enough satisfy curiosity,0.06999999999999999,Neutral
125,easy delicious truly enjoy mama brand thai soups,0.6111111111111112,Positive
126,gave package already opened one bar missing cool happens ordering anymore,0.07499999999999998,Neutral
127,taste id give 4 45 stars pretty good tastes little bit like raspberry cheesecake thought mostly think like yogurt flavorbr br problem bar way soft gets crushedflattened pocket bag anywhere else even im unwrapping new bar falls apart wrapper im opening doesnt affect taste much hurt portability snack itembr br also 90 calorie bar greatest satisfying hunger,0.355429292929293,Neutral
128,bought syrup local store decided try liked taste syrup however idea maltitol going cause terrible discomfort soon didnt even full serving 14 cup believe looked ingredients googled maltitol realized cause intestinal discomfort day felt terrible pain needless say bottle went straight trashcan unless know sure sugar alcohols dont bother wouldnt try,-0.10625000000000001,Neutral
129,stuff tastes great decaf person perhaps melitta coffee try,0.8,Positive
130,strongest tasting salt vinegar chips ive could still vinegar flavor think close im going get without dousing vinegar powder myselfbr br side side cape cod salt vinegar twice flavorful additionally reviewers said quite good bit potassium somewhere neighbor 15 rda per serving,0.7,Positive
131,minus chef celebrity endorsement product really awesome use things much wonder theyre coming ears go recipes top recipes soups stews name use love dips parties still think best taste buttery crackers also use snack still preference years using years dont plan changing anytime soon highly highly recommend,0.46571428571428575,Neutral
132,remember themthe bomb doesnt expire til october recevied 4 boxes little steep 13 bucks hey soo goodand im happy know sale nowoverall satisified,0.30625,Neutral
133,product simply cheap liquor since taste quality important prefer drink grey goose straight however occasion absolutely delicious tiny splash olive juice product quick fix stop purchasing olives order use juice worth taste worse,0.24259259259259258,Neutral
134,bought great luck another brand glutenfree cookies thought worth try also terrible bad fact nobody would eat contacted amazon graciously refunded stick original brand even less expensive,-0.12738095238095234,Neutral
135,dog pickiest eater enjoy many treats goes crazy one helps freshen breath dont know evaluate cleaning ability product bad thing make dog fat eats much,-0.03999999999999996,Neutral
136,eight month old kitty jitterbug came us eating science diet everything fine slowly switched purina indoor ive always fed cats problems well started noticing jitterbug leaving small little balls poo house instead taking vet paying lot money tests thought id try expensive food first know poop balls bad pricey dont deal feces outside litter box ill pay top dollar cat formula month im pleased results,-0.055902777777777767,Neutral
137,cookies awesome great dieters cutting sugar good wont miss old oreos,0.4,Neutral
138,like bolder strong coffee thought id give try boy glad sometime coffee gets stronger get bitter still smooth rich drink coffee black fussy great anytime cup need little lift,0.25677083333333334,Neutral
